topic_name|text_seg|count
JUN_JUNAJPU|hunhun ahpu|2
JUN_JUNAJPU|hunhunahpu|4
JUN_JUNAJPU|víendo|1
JUN_KAME|hun came|13
JUN_KAME|huncame|4
KABRAQAN|cab racan|1
KAJBAJA|cahbaha|2
KAJOLOM|Me|1
KAJOLOM|Padre|1
KAJOLOM|Padres|2
KAJOLOM|Pes.|1
KAJOLOM|dos vezes Padre|1
KAJOLOM|qaholom|7
KAJOLOM|qaholõ|1
KAQCHIKEL|ꜫaꜫchequeleb|1
KAQCHIKEL|ꜫaꜫchíqueles|1
KAQCHIKELEB|eaechequeleb|2
KAQCHIKELEB|eaechiqueles|1
KAQCHIKELEB|eaechíque les|1
KAQCHIKELEB|ꜫaꜫchequeleb|1
KAQCHIKELEB|ꜫaꜫchíqueles|1
KAQUILJA_JUN_RAQAN|caculha huracan|2
KAQUILJA_JUN_RAQAN|rayo de vna píerna|1
KAWEQ|ca uíquíb|1
KAWEQ|caui quib|2
KAWEQ|cauiquib|2
KAWEQ|cauíquíb|9
KAWEQ|cavi quib|1
KAWEQ|caviquib|2
KAWEQ|chicauiquib|1
KAWEQ|coaui quib|1
KAWEQ|quiche|3
KAWEQ|quichees|1
KAWINAL|cauínal|1
KAWINAL|cavinal|1
KAWISIMAJ|cauizimah|3
KAWISIMAJ|cauí zímah|1
KAWISIMAJ|cauízímah|4
KAWISIMAJ|cavizimah|2
KAWKEB|caoqueb|2
KEEMA|Quema|1
KEEMA|Quema chuqhax|1
KICHE|queche|2
KICHE|quiche|1
KIKAB|eae quicab|1
KIKAB|eeae quicab|1
KIKAB|qui cab|2
KIKAB|quicab|5
KIKAB|quieab|1
KIKAB|quícab|8
KIK_RE|quíc re|1
KIK_RE|quíc xíc|1
KIK_RIXKAQ|quíc ríx ƐaƐ|1
KOAJAW|Coahau|2
KOAJAW|cahau|1
KOAJAW|coahau|1
KOAJAW|qoahau|2
KOAKUL|Coacul|2
KOAKUTEK|coacutac|2
KOAKUTEK|coacutec|2
KOAKUTEK|qoacutec|2
KOCHAJUJ|Cochahuh|1
KOCHAJUJ|cochahuh|1
KOKAIB|caib|1
KOKAIB|cauíquíb|1
KOKAIB|co caib|1
KOKAIB|qocauíb|1
KOKAIB|qocaíb|3
KOKAMEL|Cocamel|2
KOKOSOM|Cocozom|2
KOMAJKUN|Comahcun|1
KOMAJKUN|comah cun|1
KONACHE|conache|2
KOTUJA|Cotuha|2
KOTUJA|cotuha|14
KOTUJA|cotuhu|1
KOTUJA|cutuha|1
KOTUJA_OCTAVO|Cotuha|1
KOTUJA_OCTAVO|Cotuha chivi|1
KOTZIBAJA|coꜩibaha|1
KOTZIBAJA|coꜩíbaha|1
KOYABAKOJ|Coyabacoh|2
KUCHUMA_KIK|cuchu maquíC|1
KUCHUMA_KIK|cuchu maquíc|1
KUCHUMA_KIK|cuchumaquic|1
KUCHUMA_KIK|cuchumaquíc|3
KUCHUMA_KIK|díxo|1
KULBA|culba|2
LOLMET_KEJNAY|Lolmet queh nai|1
LOLMET_KEJNAY|Lolmet quehnay|1
LOLMET_KEJNAY|chítuy Lolmet. 7. queh nayí|1
LOLMET_KEJNAY|lolmet, queh nay|1
LOS_DE_LA_BÓVEDA_AZUL|ah raxaꜩel chu qhaxic|1
LOS_DE_LA_BÓVEDA_AZUL|el de la verde hícara|1
LOS_DE_LA_SUPERFICIE_PLANA|ah raxalaꜫ|1
LOS_DE_LA_SUPERFICIE_PLANA|el de el verde cagete|1
LUGAR_DE_JAQAWITZ|hacauítz|5
LUGAR_DE_JAQAWITZ|hacavitz|3
LUGAR_DE_JAQAWITZ|hacaviꜩ|1
LUGAR_DE_JAQAWITZ|hacavítz|1
LUGAR_DE_TZUTUJA|tzutuha|2
MAJUKUTAJ|ma hucutah|1
MAJUKUTAJ|mahucutah|24
MAJUKUTAJ_HOMBRE|Mahucutah|2
MAKAMOB|macamob|2
MEAWN|meauan|2
MEXICO|Mexico|1
MEXICO|Mexíco|1
MT.JAQAWITZ|hacauíꜩ|2
MT.JAQAWITZ|hacaviꜩ|2
NAKXIT|nacxit|2
NAKXIT|nacxít|2
NIJAIB|nihaib|2
NIJAIB|nihaibab|11
NIJAIB|níhaíb|2
NIJAIB|níhaíbab|11
NIMA_KAMJA|Nima camha|2
NIMA_KAMJA|Níma camha|2
NIMA_KAMJA|nima camha|1
NIMA_LOLMET_YEOLTUX|nima lolmet yeoltux|1
NIMA_LOLMET_YEOLTUX|níma lolmet yeoltux|1
NIM_CHOKOJ_KAWEQ|Nim chocoh cavec|1
NIM_CHOKOJ_KAWEQ|Ním choch cauec|1
NIM_CHOKOJ_KAWEQ|nim chocoh ca vec|1
NIM_CHOKOJ_KAWEQ|ním chocoh cuec|1
NIM_CHOKOJ_NIJAIB|Nim chocoh nihaib|1
NIM_CHOKOJ_NIJAIB|Nímchocoh níhaíb|1
NIM_CHOKOJ_NIJAIB|ním chocoh níhaíb|1
OXIB_KEJ|Oxib quieh|1
OXIB_KEJ|Oxibqueh|1
PATAN|patan|6
PA_MAKA|pamaca|1
PA_MAKA|tzacualpa|1
PEKUL|pe cul|1
